Resp.nr;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14
167;2;3;3;3;3;3;2;4;2;5;4;5;5;3
168;4;4;4;4;4;4;2;2;2;4;4;4;2;3
169;4;2;4;4;4;4;3;3;4;4;3;4;4;3
170;4;5;4;2;1;2;4;2;5;5;5;5;5;5
171;4;3;4;4;5;4;2;2;3;5;5;5;4;3
172;5;3;4;4;4;5;2;2;3;5;4;4;4;4
173;4;3;4;5;4;4;2;1;1;4;3;4;5;3
174;4;5;4;4;5;4;2;2;2;4;5;5;4;4
175;3;4;2;4;4;3;4;3;3;4;4;4;4;3
177;3;3;3;2;2;3;3;3;4;4;4;4;5;3
178;2;4;3;3;3;4;2;1;3;5;4;5;5;5
180;3;3;3;4;3;4;2;2;2;4;4;5;5;3
181;3;4;4;4;4;5;1;1;1;3;5;5;5;4
182;4;3;4;4;3;4;2;1;2;4;4;4;4;3
183;4;4;3;5;4;4;4;2;2;5;5;5;5;5
184;3;2;2;4;4;3;2;3;4;4;4;4;2;2
185;4;5;1;4;4;5;2;2;2;5;4;5;5;5
186;4;3;4;4;3;3;2;2;3;5;4;5;4;4
187;3;3;2;4;2;2;4;4;3;4;5;4;4;3
188;4;4;5;5;5;5;2;5;2;5;5;5;5;2
189;3;4;4;4;4;3;4;3;4;5;5;4;5;5
190;3;2;2;2;4;3;4;4;3;5;5;5;5;1
191;4;4;4;3;3;3;3;2;3;4;4;4;4;4
192;4;4;3;4;4;4;2;3;3;4;4;4;4;3
194;5;4;4;5;4;4;2;1;1;5;5;5;5;5
